GENERO,N_America,Europa,Japon,Otros,Total
Action,849.56,494.86,153.02,176.52,1673.53
Sports,674.04,370.09,134.27,133.26,1311.4
Shooter,583.4,313.29,38.04,103.44,1037.95
Role-Playing,327.27,186.78,352.63,59.39,925.69
Platform,441.33,198.81,129.16,50.6,819.66
Misc,385.31,204.97,105.76,71.41,767.15
Racing,347.52,229.84,54.95,75.27,707.3
Fighting,220.49,98.75,86.55,36.14,441.6
Simulation,178.32,112.07,60.8,30.65,381.73
Adventure,101.1,61.13,50.26,16.56,228.72
Puzzle,110.35,47.81,54.65,12.21,224.91
Strategy,66.85,43.75,48.57,10.89,170.01
,0.0,0.0,0.03,0.0,0.03
